id,brand,series,model,year_start,year_end,type,deck_length_ft,deck_width_in,overall_length_ft,material,axle_count,axle_rating_lb,gvwr_lb,curb_weight_lb,payload_lb,tw_empty_lb,tw_loaded_pct_min,tw_loaded_pct_max,coupler_type,coupler_size_in,brakes,suspension,tire_size,bolt_pattern,ramp_style,floor_material,electrical_connector,std_features,options,compat_parts_keys,notes,estimate_method,source_url,source_date,data_quality
load_trail-ut-16x83-16ft-2ax-7000gvwr,load_trail,ut,16x83,2019,,utv,16.0,83,,steel,2,3500,7000,2140,4860,140,0.1,0.15,bumper,2.0,electric,leaf,ST205/75R15,5x4.5,fold_gate,treated_wood,4-flat,bi_fold_gate|stake_pockets|led_lighting,spare|toolbox,axle.dexter.3.5k|brake.kit.10in|hub.5x4.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/load_trail/utv,2025-10-24,sample
load_trail-ue-12x83-12ft-1ax-3500gvwr,load_trail,ue,12x83,2022,,utility,12.0,83,,steel,1,3500,3500,1380,2120,70,0.1,0.15,bumper,2.0,electric,leaf,ST205/75R15,5x4.5,fold_gate,treated_wood,4-flat,top_rail|id_led|wrap_tongue,spare|toolbox,axle.dexter.3.5k|brake.kit.10in|hub.5x4.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/load_trail/utility,2025-10-24,sample
load_trail-ue-12x77-12ft-1ax-3500gvwr,load_trail,ue,12x77,2018,,utility,12.0,77,,steel,1,3500,3500,1380,2120,70,0.1,0.15,bumper,2.0,electric,leaf,ST205/75R15,5x4.5,fold_gate,treated_wood,4-flat,top_rail|id_led|wrap_tongue,spare|toolbox,axle.dexter.3.5k|brake.kit.10in|hub.5x4.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/load_trail/utility,2025-10-24,sample
load_trail-tt-20x80-20ft-2ax-14000gvwr,load_trail,tt,20x80,2023,,tilt,20.0,80,,steel,2,7000,14000,3100,10900,280,0.1,0.15,bumper,2.5,electric,leaf,ST235/80R16,8x6.5,tilt,treated_wood,7-blade,hydraulic_cushion|rubrail|tie_downs,winch_plate|spare_mount,axle.dexter.7k|brake.kit.12in|hub.8x6.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/load_trail/tilt,2025-10-24,sample
load_trail-gn-28x102-28ft-3ax-21000gvwr,load_trail,gn,28x102,2021,,gooseneck,28.0,102,,steel,3,7000,21000,5920,15080,630,0.1,0.2,gooseneck,,electric,leaf,ST235/80R16,8x6.5,slide_in,treated_wood,7-blade,pierced_frame|mega_ramps|chain_trays,winch_plate|spare_mount,axle.dexter.7k|brake.kit.12in|hub.8x6.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/load_trail/gooseneck,2025-10-24,sample
load_trail-ue-12x77-12ft-2ax-7000gvwr,load_trail,ue,12x77,2021,,utility,12.0,77,,steel,2,3500,7000,1780,5220,140,0.1,0.15,bumper,2.0,electric,leaf,ST205/75R15,5x4.5,fold_gate,treated_wood,4-flat,top_rail|id_led|wrap_tongue,spare|toolbox,axle.dexter.3.5k|brake.kit.10in|hub.5x4.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/load_trail/utility,2025-10-24,sample
sure_trac-stm-12x75-12ft-1ax-2000gvwr,sure_trac,stm,12x75,2019,,motorcycle,12.0,75,,steel,1,2000,2000,1230,770,40,0.08,0.12,bumper,2.0,electric,leaf,ST175/80R13,5x4.5,none,treated_wood,4-flat,wheel_chock|tie_downs|lightweight,spare|toolbox,hub.5x4.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/sure_trac/motorcycle,2025-10-24,sample
sure_trac-stu-18x79-18ft-2ax-7000gvwr,sure_trac,stu,18x79,2020,,utv,18.0,79,,steel,2,3500,7000,2220,4780,140,0.1,0.15,bumper,2.0,electric,leaf,ST205/75R15,5x4.5,fold_gate,treated_wood,4-flat,bi_fold_gate|stake_pockets|led_lighting,spare|toolbox,axle.dexter.3.5k|brake.kit.10in|hub.5x4.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/sure_trac/utv,2025-10-24,sample
sure_trac-stwml-6x14-14ft-2ax-7000gvwr,sure_trac,stwml,6x14,2018,,enclosed,14.0,72,,steel,2,3500,7000,3860,3140,140,0.1,0.15,bumper,2.5,electric,leaf,ST205/75R15,5x4.5,ramp_door,treated_wood,7-blade,v_nose|rv_door|led_lighting,spare|toolbox,axle.dexter.3.5k|brake.kit.10in|hub.5x4.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/sure_trac/enclosed,2025-10-24,sample
sure_trac-std-10x60-10ft-1ax-5200gvwr,sure_trac,std,10x60,2021,,dump,10.0,60,,steel,1,5200,5200,2900,2300,104,0.1,0.15,bumper,2.0,electric,leaf,ST225/75R15,6x5.5,none,treated_wood,7-blade,tarp_kit|deep_sides|spreader_gate,spare|toolbox,brake.kit.12in|hub.6x5.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/sure_trac/dump,2025-10-24,sample
sure_trac-stwml-7x20-20ft-2ax-7000gvwr,sure_trac,stwml,7x20,2019,,enclosed,20.0,84,,steel,2,3500,7000,4100,2900,140,0.1,0.15,bumper,2.5,electric,leaf,ST205/75R15,5x4.5,ramp_door,treated_wood,7-blade,v_nose|rv_door|led_lighting,spare|toolbox,axle.dexter.3.5k|brake.kit.10in|hub.5x4.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/sure_trac/enclosed,2025-10-24,sample
sure_trac-stwml-85x12-12ft-2ax-10400gvwr,sure_trac,stwml,85x12,2020,,enclosed,12.0,102,,steel,2,5200,10400,3780,6620,208,0.1,0.15,bumper,2.5,electric,leaf,ST225/75R15,6x5.5,ramp_door,treated_wood,7-blade,v_nose|rv_door|led_lighting,spare|toolbox,brake.kit.12in|hub.6x5.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/sure_trac/enclosed,2025-10-24,sample
sure_trac-stwml-7x20-20ft-2ax-10400gvwr,sure_trac,stwml,7x20,2019,,enclosed,20.0,84,,steel,2,5200,10400,4100,6300,208,0.1,0.15,bumper,2.5,electric,leaf,ST225/75R15,6x5.5,ramp_door,treated_wood,7-blade,v_nose|rv_door|led_lighting,spare|toolbox,brake.kit.12in|hub.6x5.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/sure_trac/enclosed,2025-10-24,sample
sure_trac-stm-14x63-14ft-1ax-2000gvwr,sure_trac,stm,14x63,2018,,motorcycle,14.0,63,,steel,1,2000,2000,1310,690,40,0.08,0.12,bumper,2.0,electric,leaf,ST175/80R13,5x4.5,none,treated_wood,4-flat,wheel_chock|tie_downs|lightweight,spare|toolbox,hub.5x4.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/sure_trac/motorcycle,2025-10-24,sample
sure_trac-st7-18x77-18ft-1ax-3500gvwr,sure_trac,st7,18x77,2019,,utility,18.0,77,,steel,1,3500,3500,1620,1880,70,0.1,0.15,bumper,2.0,electric,leaf,ST205/75R15,5x4.5,fold_gate,treated_wood,4-flat,top_rail|id_led|wrap_tongue,spare|toolbox,axle.dexter.3.5k|brake.kit.10in|hub.5x4.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/sure_trac/utility,2025-10-24,sample
sure_trac-stm-14x63-14ft-1ax-3500gvwr,sure_trac,stm,14x63,2018,,motorcycle,14.0,63,,steel,1,3500,3500,1310,2190,70,0.08,0.12,bumper,2.0,electric,leaf,ST205/75R15,5x4.5,none,treated_wood,4-flat,wheel_chock|tie_downs|lightweight,spare|toolbox,axle.dexter.3.5k|brake.kit.10in|hub.5x4.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/sure_trac/motorcycle,2025-10-24,sample
aluma-dl-12x83-12ft-2ax-10400gvwr,aluma,dl,12x83,2020,,dump,12.0,83,,aluminum,2,5200,10400,2910,7490,208,0.1,0.15,bumper,2.0,electric,torsion,ST225/75R15,6x5.5,none,aluminum_plank,7-blade,tarp_kit|deep_sides|spreader_gate,spare|toolbox,brake.kit.12in|hub.6x5.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/aluma/dump,2025-10-24,sample
aluma-ut-14x83-14ft-2ax-7000gvwr,aluma,ut,14x83,2018,,utv,14.0,83,,aluminum,2,3500,7000,1570,5430,140,0.1,0.15,bumper,2.0,electric,torsion,ST205/75R15,5x4.5,fold_gate,aluminum_plank,4-flat,bi_fold_gate|stake_pockets|led_lighting,spare|toolbox,axle.dexter.3.5k|brake.kit.10in|hub.5x4.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/aluma/utv,2025-10-24,sample
aluma-eq-22x83-22ft-2ax-14000gvwr,aluma,eq,22x83,2022,,equipment,22.0,83,,aluminum,2,7000,14000,3010,10990,280,0.1,0.15,bumper,2.5,electric,torsion,ST235/80R16,8x6.5,slide_in,aluminum_plank,7-blade,rubrail|stake_pockets|stand_up_jacks,winch_plate|spare_mount,axle.dexter.7k|brake.kit.12in|hub.8x6.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/aluma/equipment,2025-10-24,sample
aluma-dl-12x72-12ft-1ax-5200gvwr,aluma,dl,12x72,2020,,dump,12.0,72,,aluminum,1,5200,5200,2660,2540,104,0.1,0.15,bumper,2.0,electric,torsion,ST225/75R15,6x5.5,none,aluminum_plank,7-blade,tarp_kit|deep_sides|spreader_gate,spare|toolbox,brake.kit.12in|hub.6x5.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/aluma/dump,2025-10-24,sample
aluma-dl-12x72-12ft-2ax-10400gvwr,aluma,dl,12x72,2023,,dump,12.0,72,,aluminum,2,5200,10400,2910,7490,208,0.1,0.15,bumper,2.0,electric,torsion,ST225/75R15,6x5.5,none,aluminum_plank,7-blade,tarp_kit|deep_sides|spreader_gate,spare|toolbox,brake.kit.12in|hub.6x5.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/aluma/dump,2025-10-24,sample
aluma-gn-32x102-32ft-2ax-14000gvwr,aluma,gn,32x102,2018,,gooseneck,32.0,102,,aluminum,2,7000,14000,5010,8990,420,0.1,0.2,gooseneck,,electric,torsion,ST235/80R16,8x6.5,slide_in,aluminum_plank,7-blade,pierced_frame|mega_ramps|chain_trays,winch_plate|spare_mount,axle.dexter.7k|brake.kit.12in|hub.8x6.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/aluma/gooseneck,2025-10-24,sample
aluma-tilt-22x80-22ft-2ax-14000gvwr,aluma,tilt,22x80,2022,,tilt,22.0,80,,aluminum,2,7000,14000,2610,11390,280,0.1,0.15,bumper,2.5,electric,torsion,ST235/80R16,8x6.5,tilt,aluminum_plank,7-blade,hydraulic_cushion|rubrail|tie_downs,winch_plate|spare_mount,axle.dexter.7k|brake.kit.12in|hub.8x6.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/aluma/tilt,2025-10-24,sample
aluma-82xx-16x77-16ft-2ax-7000gvwr,aluma,82xx,16x77,2020,,utility,16.0,77,,aluminum,2,3500,7000,1430,5570,140,0.1,0.15,bumper,2.0,electric,torsion,ST205/75R15,5x4.5,fold_gate,aluminum_plank,4-flat,top_rail|id_led|wrap_tongue,spare|toolbox,axle.dexter.3.5k|brake.kit.10in|hub.5x4.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/aluma/utility,2025-10-24,sample
aluma-eq-20x102-20ft-2ax-14000gvwr,aluma,eq,20x102,2018,,equipment,20.0,102,,aluminum,2,7000,14000,2950,11050,280,0.1,0.15,bumper,2.5,electric,torsion,ST235/80R16,8x6.5,slide_in,aluminum_plank,7-blade,rubrail|stake_pockets|stand_up_jacks,winch_plate|spare_mount,axle.dexter.7k|brake.kit.12in|hub.8x6.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/aluma/equipment,2025-10-24,sample
aluma-dl-12x83-12ft-2ax-10400gvwr,aluma,dl,12x83,2023,,dump,12.0,83,,aluminum,2,5200,10400,2910,7490,208,0.1,0.15,bumper,2.0,electric,torsion,ST225/75R15,6x5.5,none,aluminum_plank,7-blade,tarp_kit|deep_sides|spreader_gate,spare|toolbox,brake.kit.12in|hub.6x5.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/aluma/dump,2025-10-24,sample
diamond_c-gn-28x102-28ft-3ax-21000gvwr,diamond_c,gn,28x102,2019,,gooseneck,28.0,102,,steel,3,7000,21000,5920,15080,630,0.1,0.2,gooseneck,,electric,leaf,ST235/80R16,8x6.5,slide_in,treated_wood,7-blade,pierced_frame|mega_ramps|chain_trays,winch_plate|spare_mount,axle.dexter.7k|brake.kit.12in|hub.8x6.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/diamond_c/gooseneck,2025-10-24,sample
diamond_c-utv-16x83-16ft-1ax-3500gvwr,diamond_c,utv,16x83,2019,,utv,16.0,83,,steel,1,3500,3500,1740,1760,70,0.1,0.15,bumper,2.0,electric,leaf,ST205/75R15,5x4.5,fold_gate,treated_wood,4-flat,bi_fold_gate|stake_pockets|led_lighting,spare|toolbox,axle.dexter.3.5k|brake.kit.10in|hub.5x4.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/diamond_c/utv,2025-10-24,sample
diamond_c-gn-28x102-28ft-2ax-14000gvwr,diamond_c,gn,28x102,2019,,gooseneck,28.0,102,,steel,2,7000,14000,5520,8480,420,0.1,0.2,gooseneck,,electric,leaf,ST235/80R16,8x6.5,slide_in,treated_wood,7-blade,pierced_frame|mega_ramps|chain_trays,winch_plate|spare_mount,axle.dexter.7k|brake.kit.12in|hub.8x6.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/diamond_c/gooseneck,2025-10-24,sample
diamond_c-m-10x75-10ft-1ax-2000gvwr,diamond_c,m,10x75,2023,,motorcycle,10.0,75,,steel,1,2000,2000,1150,850,40,0.08,0.12,bumper,2.0,electric,leaf,ST175/80R13,5x4.5,none,treated_wood,4-flat,wheel_chock|tie_downs|lightweight,spare|toolbox,hub.5x4.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/diamond_c/motorcycle,2025-10-24,sample
diamond_c-dtm-16x83-16ft-1ax-7000gvwr,diamond_c,dtm,16x83,2019,,dump,16.0,83,,steel,1,7000,7000,3140,3860,140,0.1,0.15,bumper,2.0,electric,leaf,ST235/80R16,8x6.5,none,treated_wood,7-blade,tarp_kit|deep_sides|spreader_gate,spare|toolbox,axle.dexter.7k|brake.kit.12in|hub.8x6.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/diamond_c/dump,2025-10-24,sample
diamond_c-gn-24x102-24ft-2ax-14000gvwr,diamond_c,gn,24x102,2019,,gooseneck,24.0,102,,steel,2,7000,14000,5360,8640,420,0.1,0.2,gooseneck,,electric,leaf,ST235/80R16,8x6.5,slide_in,treated_wood,7-blade,pierced_frame|mega_ramps|chain_trays,winch_plate|spare_mount,axle.dexter.7k|brake.kit.12in|hub.8x6.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/diamond_c/gooseneck,2025-10-24,sample
diamond_c-ut-16x83-16ft-1ax-3500gvwr,diamond_c,ut,16x83,2018,,utility,16.0,83,,steel,1,3500,3500,1540,1960,70,0.1,0.15,bumper,2.0,electric,leaf,ST205/75R15,5x4.5,fold_gate,treated_wood,4-flat,top_rail|id_led|wrap_tongue,spare|toolbox,axle.dexter.3.5k|brake.kit.10in|hub.5x4.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/diamond_c/utility,2025-10-24,sample
diamond_c-gn-28x102-28ft-2ax-14000gvwr,diamond_c,gn,28x102,2020,,gooseneck,28.0,102,,steel,2,7000,14000,5520,8480,420,0.1,0.2,gooseneck,,electric,leaf,ST235/80R16,8x6.5,slide_in,treated_wood,7-blade,pierced_frame|mega_ramps|chain_trays,winch_plate|spare_mount,axle.dexter.7k|brake.kit.12in|hub.8x6.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/diamond_c/gooseneck,2025-10-24,sample
diamond_c-dtm-16x83-16ft-2ax-10400gvwr,diamond_c,dtm,16x83,2018,,dump,16.0,83,,steel,2,5200,10400,3540,6860,208,0.1,0.15,bumper,2.0,electric,leaf,ST225/75R15,6x5.5,none,treated_wood,7-blade,tarp_kit|deep_sides|spreader_gate,spare|toolbox,brake.kit.12in|hub.6x5.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/diamond_c/dump,2025-10-24,sample
diamond_c-dtm-12x83-12ft-2ax-10400gvwr,diamond_c,dtm,12x83,2018,,dump,12.0,83,,steel,2,5200,10400,3380,7020,208,0.1,0.15,bumper,2.0,electric,leaf,ST225/75R15,6x5.5,none,treated_wood,7-blade,tarp_kit|deep_sides|spreader_gate,spare|toolbox,brake.kit.12in|hub.6x5.5,Seeded sample; verify local market variants.,payload=gvwr-curb; tw=category rule,https://seed/diamond_c/dump,2025-10-24,sample
